Title,Genre,Studio,Total Gross,Theaters,Opening Gross,Open Date
If I Stay,Drama,WB (NL),"$50,474,843.00 ",3157,"$15,679,190.00 ",8/22/14
The Book of Life (2014),Animation,Fox,"$50,151,543.00 ",3113,"$17,005,218.00 ",10/17/14
About Last Night (2014),Romantic Comedy,SGem,"$48,637,684.00 ",2253,"$25,649,011.00 ",2/14/14
Into The Storm,Thriller,WB (NL),"$47,602,194.00 ",3434,"$17,346,427.00 ",8/8/14
The Judge,Drama,WB,"$47,119,388.00 ",3003,"$13,116,226.00 ",10/10/14
Jersey Boys,Musical,WB,"$47,047,013.00 ",2905,"$13,319,371.00 ",6/20/14
Blended,Romantic Comedy,WB,"$46,294,610.00 ",3555,"$14,284,031.00 ",5/23/14
The Giver,Fantasy Drama,Wein.,"$45,090,374.00 ",3003,"$12,305,016.00 ",8/15/14
St. Vincent,Comedy,Wein.,"$44,137,712.00 ",2552,"$109,878.00 ",10/10/14
Need for Speed,Action,BV,"$43,577,636.00 ",3115,"$17,844,939.00 ",3/14/14
A Million Ways to Die in the West,Western Comedy,Uni.,"$43,139,300.00 ",3160,"$16,797,385.00 ",5/30/14
John Wick,Action,LG/S,"$43,037,835.00 ",2589,"$14,415,922.00 ",10/24/14
Birdman,Comedy / Drama,FoxS,"$42,340,598.00 ",1213,"$424,397.00 ",10/17/14
Dolphin Tale 2,Family,WB,"$42,024,533.00 ",3656,"$15,873,397.00 ",9/12/14
The Expendables 3,Action,LGF,"$39,322,544.00 ",3221,"$15,879,645.00 ",8/15/14
Earth to Echo,Adventure,Rela.,"$38,934,842.00 ",3230,"$8,364,658.00 ",7/2/14
Sex Tape,Comedy,Sony,"$38,543,473.00 ",3062,"$14,608,152.00 ",7/18/14
Wild (2014),Drama,FoxS,"$37,880,356.00 ",1361,"$606,810.00 ",12/3/14
Million Dollar Arm,Sports Drama,BV,"$36,457,627.00 ",3019,"$10,515,659.00 ",5/16/14
The Theory of Everything,Drama,Focus,"$35,893,537.00 ",1220,"$208,763.00 ",11/7/14
This is Where I Leave You,Comedy,WB,"$34,296,320.00 ",2868,"$11,558,149.00 ",9/19/14
The Gambler,Crime Drama,Par.,"$33,680,992.00 ",2494,"$9,129,999.00 ",12/25/14
Paranormal Activity: The Marked Ones,Horror,Par.,"$32,462,372.00 ",2883,"$18,343,611.00 ",1/3/14
Nightcrawler,Crime Drama,ORF,"$32,381,217.00 ",2766,"$10,441,000.00 ",10/31/14
Chef,Comedy,ORF,"$31,424,003.00 ",1298,"$204,961.00 ",5/9/14
Get On Up,Music Drama,Uni.,"$30,703,100.00 ",2469,"$13,585,915.00 ",8/1/14
3 Days to Kill,Action Thriller,Rela.,"$30,697,999.00 ",2872,"$12,242,218.00 ",2/21/14
Deliver Us From Evil,Horror,SGem,"$30,577,122.00 ",3049,"$9,740,471.00 ",7/2/14
When the Game Stands Tall,Sports Drama,TriS,"$30,127,963.00 ",2766,"$8,381,509.00 ",8/22/14
Draft Day,Sports Drama,LG/S,"$28,842,237.00 ",2781,"$9,783,603.00 ",4/11/14
Oculus,Horror,Rela.,"$27,695,246.00 ",2648,"$12,005,402.00 ",4/11/14
The Best of Me,Romance,Rela.,"$26,766,213.00 ",2936,"$10,003,827.00 ",10/17/14
A Walk Among the Tombstones,Drama,Uni.,"$26,307,600.00 ",2714,"$12,758,780.00 ",9/19/14
That Awkward Moment,Romantic Comedy,Focus,"$26,068,955.00 ",2809,"$8,742,109.00 ",1/31/14
Boyhood,Drama,IFC,"$25,352,281.00 ",775,"$387,618.00 ",7/11/14
Star Wars: The Force Awakens,Sci-Fi Fantasy,BV,"$936,662,225.00 ",4134,"$247,966,675.00 ",12/18/15
Jurassic World,Action / Adventure,Uni.,"$652,270,625.00 ",4291,"$208,806,270.00 ",6/12/15
Avengers: Age of Ultron,Action / Adventure,BV,"$459,005,868.00 ",4276,"$191,271,109.00 ",5/1/15
Inside Out,Animation,BV,"$356,461,711.00 ",4158,"$90,440,272.00 ",6/19/15
Furious 7,Action,Uni.,"$353,007,020.00 ",4022,"$147,187,040.00 ",4/3/15
Minions,Animation,Uni.,"$336,045,770.00 ",4311,"$115,718,405.00 ",7/10/15
The Hunger Games: Mockingjay - Part 2,Action / Adventure,LGF,"$281,723,902.00 ",4175,"$102,665,981.00 ",11/20/15
The Martian,Sci-Fi,Fox,"$228,433,663.00 ",3854,"$54,308,575.00 ",10/2/15
Cinderella (2015),Fantasy,BV,"$201,151,353.00 ",3848,"$67,877,361.00 ",3/13/15
Spectre,Action,Sony,"$200,074,609.00 ",3929,"$70,403,148.00 ",11/6/15
Mission: Impossible - Rogue Nation,Action,Par.,"$195,042,377.00 ",3988,"$55,520,089.00 ",7/31/15
Pitch Perfect 2,Comedy,Uni.,"$184,296,230.00 ",3660,"$69,216,890.00 ",5/15/15
The Revenant,Action / Adventure,Fox,"$183,637,894.00 ",3711,"$474,560.00 ",12/25/15
Ant-Man,Action / Adventure,BV,"$180,202,163.00 ",3868,"$57,225,526.00 ",7/17/15
Home (2015),Animation,Fox,"$177,397,510.00 ",3801,"$52,107,731.00 ",3/27/15
Hotel Transylvania 2,Animation,Sony,"$169,700,110.00 ",3768,"$48,464,322.00 ",9/25/15
Fifty Shades of Grey,Romance,Uni.,"$166,167,230.00 ",3655,"$85,171,450.00 ",2/13/15
The SpongeBob Movie: Sponge Out of Water,Animation,Par.,"$162,994,032.00 ",3680,"$55,365,012.00 ",2/6/15
Straight Outta Compton,Drama,Uni.,"$161,197,785.00 ",3142,"$60,200,180.00 ",8/14/15
San Andreas,Action,WB (NL),"$155,190,832.00 ",3812,"$54,588,173.00 ",5/29/15
Mad Max: Fury Road,Sci-Fi Action,WB,"$153,636,354.00 ",3722,"$45,428,128.00 ",5/15/15
Daddy's Home,Comedy,Par.,"$150,357,137.00 ",3483,"$38,740,203.00 ",12/25/15
The Divergent Series: Insurgent,Action / Adventure,LG/S,"$130,179,072.00 ",3875,"$52,263,680.00 ",3/20/15
The Peanuts Movie,Animation,Fox,"$130,178,411.00 ",3902,"$44,213,073.00 ",11/6/15
Kingsman: The Secret Service,Action / Adventure,Fox,"$128,261,724.00 ",3282,"$36,206,331.00 ",2/13/15
The Good Dinosaur,Animation,BV,"$123,087,120.00 ",3749,"$39,155,217.00 ",11/25/15
Spy,Comedy,Fox,"$110,825,712.00 ",3715,"$29,085,719.00 ",6/5/15
Trainwreck,Comedy,Uni.,"$110,212,700.00 ",3171,"$30,097,040.00 ",7/17/15
Creed,Drama,WB (NL),"$109,767,581.00 ",3502,"$29,632,823.00 ",11/25/15
Tomorrowland,Sci-Fi,BV,"$93,436,322.00 ",3972,"$33,028,165.00 ",5/22/15
Get Hard,Comedy,WB,"$90,411,453.00 ",3212,"$33,803,253.00 ",3/27/15
Terminator: Genisys,Action,Par.,"$89,760,956.00 ",3783,"$27,018,486.00 ",7/1/15
Taken 3,Action,Fox,"$89,256,424.00 ",3594,"$39,201,657.00 ",1/9/15
Sisters,Comedy,Uni.,"$87,044,645.00 ",2978,"$13,922,855.00 ",12/18/15
Alvin and the Chipmunks: The Road Chip,Family Comedy,Fox,"$85,886,987.00 ",3705,"$14,287,159.00 ",12/18/15
Maze Runner: The Scorch Trials,Action / Adventure,Fox,"$81,697,192.00 ",3792,"$30,316,510.00 ",9/18/15
Ted 2,Comedy,Uni.,"$81,476,385.00 ",3448,"$33,507,870.00 ",6/26/15
Goosebumps,Horror Comedy,Sony,"$80,080,379.00 ",3618,"$23,618,556.00 ",10/16/15
