Title,Genre,Studio,Total Gross,Theaters,Opening Gross,Open Date
Jack Reacher: Never Go Back,Crime Drama,Par.,"$58,697,076.00 ",3780,"$22,872,490.00 ",10/21/16
Fences,Drama,Par.,"$57,682,904.00 ",2368,"$129,462.00 ",12/16/16
Me Before You,Romance,WB (NL),"$56,245,075.00 ",2762,"$18,723,269.00 ",6/3/16
The BFG,Adventure,BV,"$55,483,770.00 ",3392,"$18,775,350.00 ",7/1/16
Neighbors 2: Sorority Rising,Comedy,Uni.,"$55,455,765.00 ",3416,"$21,760,405.00 ",5/20/16
The Shallows,Horror,Sony,"$55,124,043.00 ",2962,"$16,800,868.00 ",6/24/16
Office Christmas Party,Comedy,Par.,"$54,767,494.00 ",3210,"$17,500,000.00 ",12/9/16
Assassin's Creed,Action,Fox,"$54,647,948.00 ",2996,"$10,278,225.00 ",12/21/16
Barbershop: The Next Cut,Comedy,WB (NL),"$54,030,051.00 ",2676,"$20,242,415.00 ",4/15/16
13 Hours: The Secret Soldiers of Benghazi,Drama,Par.,"$52,853,219.00 ",2917,"$16,194,738.00 ",1/15/16
Lion,Drama,Wein.,"$51,728,731.00 ",1802,"$123,360.00 ",11/25/16
The Huntsman: Winter's War,Action / Adventure,Uni.,"$48,390,190.00 ",3802,"$19,445,035.00 ",4/22/16
Kubo and the Two Strings,Animation,Focus,"$48,023,088.00 ",3279,"$12,608,372.00 ",8/19/16
Manchester by the Sea,Drama,RAtt.,"$47,695,371.00 ",1213,"$256,498.00 ",11/18/16
Warcraft,Fantasy,Uni.,"$47,365,290.00 ",3406,"$24,166,110.00 ",6/10/16
How to Be Single,Romantic Comedy,WB (NL),"$46,843,513.00 ",3357,"$17,878,911.00 ",2/12/16
Mike and Dave Need Wedding Dates,Comedy,Fox,"$46,009,673.00 ",3008,"$16,628,170.00 ",7/8/16
War Dogs,Comedy / Drama,WB,"$43,034,523.00 ",3258,"$14,685,305.00 ",8/19/16
Almost Christmas,Comedy,Uni.,"$42,065,185.00 ",2379,"$15,134,235.00 ",11/11/16
Money Monster,Drama / Thriller,TriS,"$41,012,075.00 ",3104,"$14,788,157.00 ",5/13/16
Allied,Romantic Thriller,Par.,"$40,098,064.00 ",3160,"$12,701,743.00 ",11/23/16
Nerve,Thriller,LGF,"$38,583,626.00 ",2538,"$9,445,456.00 ",7/27/16
Risen,Action / Adventure,Sony,"$36,880,033.00 ",2915,"$11,801,271.00 ",2/19/16
The Nice Guys,Comedy Thriller,WB,"$36,261,763.00 ",2865,"$11,203,270.00 ",5/20/16
The Boy (2016),Horror,STX,"$35,819,556.00 ",2671,"$10,778,392.00 ",1/22/16
Dirty Grandpa,Comedy,LGF,"$35,593,113.00 ",2912,"$11,111,875.00 ",1/22/16
Ouija: Origin of Evil,Horror,Uni.,"$35,144,505.00 ",3168,"$14,065,500.00 ",10/21/16
The 5th Wave,Sci-Fi Action,Sony,"$34,916,787.00 ",2908,"$10,326,356.00 ",1/22/16
Inferno,Thriller,Sony,"$34,343,574.00 ",3576,"$14,860,425.00 ",10/28/16
Mother's Day,Comedy,ORF,"$32,492,859.00 ",3291,"$8,369,184.00 ",4/29/16
Patriots Day,Drama,LGF,"$31,886,361.00 ",3120,"$161,306.00 ",12/21/16
Gods of Egypt,Action / Adventure,LG/S,"$31,153,464.00 ",3117,"$14,123,903.00 ",2/26/16
Collateral Beauty,Drama,WB (NL),"$31,016,021.00 ",3028,"$7,102,085.00 ",12/16/16
"Hail, Caesar!",Comedy,Uni.,"$30,498,085.00 ",2248,"$11,355,225.00 ",2/5/16
When the Bough Breaks,Drama,SGem,"$29,747,603.00 ",2246,"$14,202,323.00 ",9/9/16
Zoolander 2,Comedy,Par.,"$28,848,693.00 ",3418,"$13,841,146.00 ",2/12/16
Moonlight (2016),Drama,A24,"$27,854,932.00 ",1564,"$402,075.00 ",10/21/16
The Finest Hours,Thriller,BV,"$27,569,558.00 ",3143,"$10,288,932.00 ",1/29/16
Florence Foster Jenkins,Drama,Par.,"$27,383,770.00 ",1528,"$6,601,313.00 ",8/12/16
Hell or High Water,Action Drama,LGF,"$27,007,844.00 ",1505,"$621,329.00 ",8/12/16
The Forest,Horror,Focus,"$26,594,261.00 ",2509,"$12,741,176.00 ",1/8/16
Ben-Hur (2016),Historical Epic,Par.,"$26,410,477.00 ",3084,"$11,203,815.00 ",8/19/16
The Witch,Horror,A24,"$25,138,705.00 ",2204,"$8,800,230.00 ",2/19/16
Bridget Jones's Baby,Romantic Comedy,Uni.,"$24,252,420.00 ",2930,"$8,571,785.00 ",9/16/16
Kevin Hart: What Now?,Concert,Uni.,"$23,591,043.00 ",2567,"$11,767,210.00 ",10/14/16
